류가준,96,94,76,91
적라파,73,76,82,99
오마라,66,65,93,94
이마파,68,98,98,84
정하화,82,90,76,66
최화준,89,81,80,100
고바석,90,74,96,71
박나사,87,83,82,93
구길윤,83,79,86,99
박섭길,85,99,75,68
이나나,94,98,91,88
이준나,74,90,81,65
정파재,99,88,95,93
손바섭,97,69,87,88
손나윤,100,68,78,67
최바하,79,97,100,89
곽자진,89,74,79,74
정다마,72,85,82,65
이형석,95,97,100,91
박아나,72,77,83,69
오섭재,65,84,98,66
적윤차,82,80,76,74
곽하진,72,92,76,75
박가준,76,75,85,73
유준석,65,73,87,88
송진사,99,69,84,94
박마아,68,76,97,69
오차카,65,73,82,85
오나화,81,74,92,90
고타가,100,83,100,69
적재가,95,92,76,79
최섭바,65,94,82,96
최파바,66,97,92,79
고섭파,85,83,95,86
적타진,74,78,69,85
박카아,80,78,96,89
송마가,70,65,82,95
최나하,82,83,88,68
송아차,83,86,91,80
이진차,100,77,87,77
유진바,94,68,95,78
구자차,73,96,72,94
송차나,88,79,93,95
유마다,69,94,88,70
적석아,92,84,91,100
구차파,85,76,100,83
구차카,86,87,74,65
박아아,65,89,81,75
곽나화,65,73,90,70
이자하,70,96,69,88
정자섭,81,94,90,89
이윤윤,68,66,96,81
류다타,71,82,97,98
고마석,89,67,99,72
김아길,85,66,98,79
류사다,74,75,74,70
최진진,65,99,65,100
적재다,73,98,86,81
정하바,69,76,82,71
최파다,73,95,87,66
곽화윤,88,88,83,74
송차카,68,99,70,73
박섭다,81,68,83,98
강준진,65,88,90,85
오준자,76,69,84,69
적섭사,93,85,96,69
구길파,68,68,91,67
이준가,66,71,84,73
고준자,70,70,100,69
김진길,90,67,88,92
고파형,71,65,95,85
손바윤,86,89,66,88
김파아,80,98,84,82
최나형,72,96,96,68
송하재,90,74,94,72
이가가,85,68,92,96
박다자,92,66,91,89
곽마마,82,95,77,67
강차차,77,74,65,84
손화형,79,87,88,69
유아타,68,96,78,98
김진파,77,66,80,86
유파준,93,69,71,98
박섭가,71,65,73,90
유파마,92,72,83,71
송자화,94,100,98,94
강진사,94,82,97,79
이가화,93,95,68,74
최준사,90,83,77,97
최카화,91,67,74,96
류카나,99,67,65,100
송파타,66,77,67,87
고윤차,69,70,81,79
정진준,94,66,88,88
유바아,94,69,90,97
적바마,71,67,97,72
강마하,80,66,97,97
류아길,71,75,91,87
강자길,99,89,92,91
이형하,99,70,94,79
